IDpol,ClaimAmount,Region,VehBrand,VehPower,VehAge,DrivAge,BonusMalus,Area,VehGas
4146144,61204.0,Centre,B2,6,5,28,76,D,Diesel
1080933,58711.0,Lorraine,B5,6,2,32,57,D,Diesel
2166718,56219.6,Centre,B11,8,17,18,100,A,Regular
3186271,55152.45,Languedoc-Roussillon,B10,12,7,36,75,C,Diesel
2225771,55000.0,Provence-Alpes-Cotes-D'Azur,B2,5,1,52,50,D,Diesel
4020812,54942.62,Ile-de-France,B12,8,2,53,52,F,Diesel
2122292,54551.92,Centre,B2,5,3,74,112,B,Regular
2139940,54400.12,Bourgogne,B2,4,11,31,95,E,Regular
2145625,52349.76,Centre,B1,7,1,20,100,B,Regular
1163542,51857.75,Centre,B1,6,10,28,112,E,Diesel
157880,51826.55,Centre,B2,6,7,77,85,E,Regular
4181821,51204.0,Rhone-Alpes,B2,7,10,28,100,D,Diesel
2088184,50880.0,Provence-Alpes-Cotes-D'Azur,B6,4,12,36,51,E,Regular
3185572,50842.78,Pays-de-la-Loire,B1,4,7,34,76,C,Regular
5014750,50000.0,Provence-Alpes-Cotes-D'Azur,B12,5,5,54,50,D,Regular
2129111,50000.0,Nord-Pas-de-Calais,B2,6,8,56,62,E,Diesel
5060194,49420.0,Provence-Alpes-Cotes-D'Azur,B12,7,1,53,51,D,Diesel
2197215,48735.0,Basse-Normandie,B10,13,2,42,50,A,Regular
3164064,46105.94,Centre,B3,6,15,32,54,B,Regular
129733,45734.7,Centre,B1,7,3,59,50,B,Regular
1189505,45000.0,Provence-Alpes-Cotes-D'Azur,B3,12,7,50,50,D,Regular
1024506,44927.41,Centre,B1,6,12,35,50,C,Diesel
1040527,43963.58,Rhone-Alpes,B2,6,6,53,50,D,Diesel
4141918,43858.91,Ile-de-France,B1,11,16,63,50,D,Regular
1126444,43808.54,Basse-Normandie,B11,13,3,50,50,E,Regular
40625,43742.04,Rhone-Alpes,B1,6,15,42,50,D,Diesel
3063354,43160.0,Centre,B1,6,5,54,50,D,Diesel
1034084,42829.24,Poitou-Charentes,B1,7,3,33,50,C,Regular
2083188,42542.89,Rhone-Alpes,B1,6,10,47,50,E,Diesel
4135354,42450.0,Centre,B2,6,15,57,50,D,Diesel
2191680,42057.71,Centre,B2,5,2,72,50,B,Diesel
1013313,41689.45,Provence-Alpes-Cotes-D'Azur,B12,8,0,29,95,E,Regular
78656,41614.72,Bretagne,B2,5,0,19,100,D,Diesel
4164838,41204.0,Centre,B1,7,18,26,100,E,Regular
4128179,41204.0,Pays-de-la-Loire,B1,6,10,40,50,C,Diesel
159193,40408.12,Basse-Normandie,B14,7,8,50,50,A,Diesel
2261431,40000.0,Languedoc-Roussillon,B1,5,4,20,100,B,Diesel
76323,40000.0,Rhone-Alpes,B1,6,4,24,118,C,Diesel
2077200,39850.0,Rhone-Alpes,B6,4,15,54,55,D,Regular
3043122,39739.35,Provence-Alpes-Cotes-D'Azur,B1,10,8,28,90,C,Regular
4186822,39660.0,Centre,B5,9,3,81,62,B,Regular
3145341,39204.0,Poitou-Charentes,B1,6,13,76,50,C,Diesel
2080575,39172.64,Centre,B2,5,10,40,60,A,Regular
84109,39071.07,Pays-de-la-Loire,B3,7,13,22,156,B,Regular
3086880,37622.0,Bretagne,B4,5,11,44,50,B,Diesel
3161740,37547.19,Bourgogne,B2,5,5,51,58,A,Regular
1089943,36337.24,Pays-de-la-Loire,B3,7,9,18,100,C,Regular
4141223,36204.0,Bourgogne,B1,6,7,41,147,D,Diesel
3124522,35831.0,Rhone-Alpes,B5,6,14,44,112,E,Regular
1094460,35705.32,Rhone-Alpes,B5,10,5,37,56,E,Regular
35452,35600.44,Rhone-Alpes,B2,4,2,55,50,D,Diesel
1098349,35326.79,Centre,B1,7,10,35,68,A,Regular
4039840,35193.25,Limousin,B12,7,2,43,54,A,Diesel
53924,35098.33,Centre,B5,7,9,42,50,B,Regular
164137,35063.27,Centre,B3,6,1,51,50,B,Diesel
2140037,35000.0,Rhone-Alpes,B1,6,12,50,100,C,Diesel
1015119,34882.23,Pays-de-la-Loire,B12,6,0,33,54,B,Regular
148193,34819.25,Centre,B1,6,2,44,50,A,Diesel
1055715,34463.16,Rhone-Alpes,B12,7,7,52,50,E,Regular
1064710,34062.25,Rhone-Alpes,B2,5,12,54,62,B,Diesel
5020318,33620.84,Provence-Alpes-Cotes-D'Azur,B1,7,4,32,72,B,Diesel
4008268,33441.0,Provence-Alpes-Cotes-D'Azur,B12,6,4,73,50,E,Regular
3080768,33204.0,Pays-de-la-Loire,B1,9,5,54,56,C,Diesel
2190207,33059.73,Bretagne,B3,7,8,56,50,C,Diesel
3208153,32288.28,Bretagne,B2,5,3,29,90,D,Diesel
3095666,32155.81,Rhone-Alpes,B1,6,9,61,58,D,Diesel
5319,31632.81,Ile-de-France,B12,11,0,45,50,D,Diesel
170437,31617.92,Centre,B2,10,4,66,50,C,Regular
4036493,31430.49,Rhone-Alpes,B12,7,1,36,50,C,Diesel
4058794,31232.0,Ile-de-France,B12,8,0,38,60,D,Diesel
4163678,31204.0,Centre,B1,5,12,30,100,D,Diesel
2122609,31172.0,Centre,B2,10,13,65,62,D,Diesel
178029,30947.15,Provence-Alpes-Cotes-D'Azur,B5,5,2,27,80,E,Regular
19883,30829.41,Centre,B2,6,2,50,68,A,Diesel
86402,30489.8,Provence-Alpes-Cotes-D'Azur,B6,9,1,19,95,D,Regular
3073240,30167.28,Pays-de-la-Loire,B1,6,7,67,50,C,Diesel
2084819,30000.0,Bretagne,B1,9,6,37,50,B,Regular
2266630,30000.0,Provence-Alpes-Cotes-D'Azur,B2,4,0,43,54,E,Diesel
3254084,30000.0,Languedoc-Roussillon,B1,4,13,53,50,D,Regular
3045337,29126.58,Rhone-Alpes,B12,4,0,29,51,E,Diesel
2135748,29073.46,Centre,B2,7,14,19,100,C,Regular
1177322,28614.67,Bretagne,B1,5,12,46,95,D,Regular
5006873,27522.0,Ile-de-France,B2,4,4,28,95,E,Regular
3138311,27504.0,Centre,B5,7,2,29,93,D,Diesel
4159364,27204.0,Rhone-Alpes,B5,5,10,55,80,E,Diesel
2234608,27000.0,Languedoc-Roussillon,B1,4,12,52,50,D,Regular
2211584,26672.0,Centre,B2,6,4,50,50,C,Diesel
25040,26665.92,Centre,B6,6,13,33,80,B,Regular
2270955,26653.54,Provence-Alpes-Cotes-D'Azur,B10,8,6,64,62,B,Diesel
1083202,26575.01,Provence-Alpes-Cotes-D'Azur,B1,9,10,48,50,E,Regular
5049809,26526.3,Pays-de-la-Loire,B12,4,1,26,100,E,Diesel
3055490,26498.79,Bretagne,B1,5,12,49,59,B,Regular
4172127,26356.45,Centre,B1,7,7,78,50,B,Regular
4131242,26176.55,Centre,B12,9,4,44,50,A,Diesel
59107,26099.27,Bretagne,B6,4,1,48,90,E,Regular
5095663,25840.0,Ile-de-France,B12,4,0,57,50,F,Regular
1105282,25711.41,Provence-Alpes-Cotes-D'Azur,B5,6,7,27,75,D,Diesel
2116919,25520.3,Ile-de-France,B2,4,8,33,72,E,Regular
165930,25471.5,Rhone-Alpes,B10,7,2,27,76,E,Diesel
1115121,25298.32,Basse-Normandie,B1,7,4,28,50,C,Regular
71595,25152.45,Nord-Pas-de-Calais,B2,6,1,48,55,C,Diesel
2152579,25110.0,Centre,B1,7,20,52,100,A,Regular
18179,25074.81,Centre,B1,4,11,79,50,A,Regular
4133510,25000.0,Languedoc-Roussillon,B5,5,5,53,52,C,Diesel
2274545,24441.66,Nord-Pas-de-Calais,B13,14,5,41,76,C,Regular
4153530,24285.0,Nord-Pas-de-Calais,B3,7,12,19,100,C,Regular
2209259,24172.0,Centre,B5,7,11,56,50,A,Regular
72012,24031.68,Centre,B1,7,13,21,90,D,Regular
4180368,24000.0,Rhone-Alpes,B12,11,0,63,53,C,Regular
2147286,23468.3,Centre,B3,9,16,20,100,C,Regular
1196460,23227.9,Provence-Alpes-Cotes-D'Azur,B5,10,0,47,50,C,Regular
2105700,23075.88,Provence-Alpes-Cotes-D'Azur,B2,6,14,44,50,E,Regular
1047629,23043.74,Rhone-Alpes,B2,8,5,25,57,E,Diesel
142366,23042.28,Franche-Comte,B1,7,11,74,71,A,Regular
2277762,23000.0,Languedoc-Roussillon,B1,4,12,52,50,D,Regular
4122619,22600.0,Rhone-Alpes,B1,6,9,43,54,E,Regular
1012500,22567.21,Rhone-Alpes,B12,7,0,40,57,D,Diesel
89657,22526.81,Midi-Pyrenees,B1,6,1,76,50,C,Diesel
6100323,22440.0,Ile-de-France,B12,10,1,60,55,D,Regular
2268680,22343.05,Provence-Alpes-Cotes-D'Azur,B10,10,2,52,50,D,Regular
6111084,22070.0,Provence-Alpes-Cotes-D'Azur,B12,8,0,62,56,A,Diesel
5073560,22000.0,Rhone-Alpes,B12,5,4,79,54,B,Regular
5071958,22000.0,Ile-de-France,B12,4,3,35,50,E,Regular
5078917,22000.0,Centre,B12,4,0,21,90,E,Diesel
1191183,22000.0,Ile-de-France,B6,14,12,32,64,F,Regular
3167623,21876.59,Rhone-Alpes,B6,6,4,32,56,E,Diesel
3151785,21594.95,Nord-Pas-de-Calais,B3,6,12,38,50,D,Diesel
1143384,21494.43,Pays-de-la-Loire,B2,5,12,30,106,D,Diesel
101105,21477.44,Picardie,B5,5,8,19,100,C,Regular
4184024,21204.0,Bourgogne,B2,6,9,54,50,C,Diesel
3020798,21127.57,Corse,B12,4,2,70,97,B,Regular
3167082,21000.0,Provence-Alpes-Cotes-D'Azur,B5,5,0,46,62,C,Regular
89541,20927.43,Aquitaine,B6,5,2,39,50,E,Diesel
5047624,20718.0,Bourgogne,B6,7,6,24,76,A,Regular
93944,20640.73,Provence-Alpes-Cotes-D'Azur,B5,4,16,51,50,C,Regular
2064176,20602.99,Centre,B3,5,13,45,50,A,Diesel
3056959,20345.81,Poitou-Charentes,B12,8,5,44,58,B,Diesel
2002243,20202.97,Languedoc-Roussillon,B12,9,3,33,50,D,Regular
4156737,20150.43,Haute-Normandie,B12,12,8,45,50,E,Diesel
2056623,20135.0,Centre,B2,7,16,47,77,D,Regular
1172893,20034.96,Pays-de-la-Loire,B1,7,6,83,50,C,Regular
3058418,20000.0,Rhone-Alpes,B1,9,16,38,72,C,Regular
4170323,20000.0,Rhone-Alpes,B11,7,14,19,100,C,Diesel
2284588,20000.0,Languedoc-Roussillon,B2,6,4,33,62,C,Regular
1181678,20000.0,Provence-Alpes-Cotes-D'Azur,B2,7,15,33,64,E,Regular
2266429,20000.0,Provence-Alpes-Cotes-D'Azur,B2,4,12,39,57,E,Regular
1190233,20000.0,Provence-Alpes-Cotes-D'Azur,B11,11,7,42,50,E,Regular
4046192,19976.0,Ile-de-France,B12,6,4,72,50,E,Regular
76662,19883.77,Poitou-Charentes,B1,5,5,43,100,B,Diesel
1192667,19836.99,Ile-de-France,B1,7,6,56,58,E,Diesel
3086482,19811.6,Centre,B6,8,4,41,50,C,Diesel
149211,19791.01,Pays-de-la-Loire,B1,6,9,41,50,D,Diesel
2209220,19350.0,Lorraine,B2,4,14,46,73,D,Diesel
2083404,19281.82,Poitou-Charentes,B2,5,4,24,125,D,Diesel
2094193,19122.04,Rhone-Alpes,B2,7,15,40,70,B,Regular
3045922,19071.38,Centre,B2,6,2,75,50,A,Diesel
1077761,19056.13,Nord-Pas-de-Calais,B10,8,1,45,50,E,Diesel
4074168,19042.19,Provence-Alpes-Cotes-D'Azur,B12,8,2,33,60,A,Diesel
4006130,18999.75,Picardie,B12,6,7,49,50,E,Regular
1117351,18900.0,Centre,B2,6,14,19,90,A,Diesel
88976,18871.73,Provence-Alpes-Cotes-D'Azur,B1,9,9,40,85,C,Regular
3179321,18825.38,Pays-de-la-Loire,B2,4,4,58,50,D,Regular
1147161,18806.7,Centre,B1,7,14,53,100,C,Regular
1074874,18753.6,Lorraine,B2,6,4,41,50,B,Diesel
2137413,18551.12,Rhone-Alpes,B10,11,7,34,76,E,Diesel
4049217,18536.3,Rhone-Alpes,B12,7,2,69,50,E,Diesel
2277113,18530.0,Languedoc-Roussillon,B6,9,1,52,50,C,Diesel
2119842,18177.27,Pays-de-la-Loire,B3,5,6,27,95,D,Diesel
1014639,18043.06,Ile-de-France,B12,7,0,41,50,E,Regular
2231602,18000.0,Rhone-Alpes,B11,4,7,36,76,E,Diesel
2140370,18000.0,Provence-Alpes-Cotes-D'Azur,B3,7,1,41,50,E,Diesel
3107959,17973.55,Poitou-Charentes,B2,7,1,21,90,C,Regular
61012,17937.57,Lorraine,B2,7,11,29,95,D,Regular
3131368,17774.0,Rhone-Alpes,B1,5,4,22,95,E,Diesel
4055372,17616.93,Languedoc-Roussillon,B12,7,0,28,76,E,Diesel
2077809,17480.45,Provence-Alpes-Cotes-D'Azur,B3,5,4,54,51,D,Diesel
5075009,17378.0,Ile-de-France,B12,4,3,43,60,E,Regular
49189,17319.76,Pays-de-la-Loire,B2,7,3,53,50,E,Diesel
127859,17263.73,Centre,B1,5,8,80,50,B,Regular
3093759,17232.93,Basse-Normandie,B2,6,8,28,60,A,Diesel
3181926,17204.0,Bretagne,B6,4,4,78,50,C,Regular
3129120,17169.88,Nord-Pas-de-Calais,B6,4,4,47,50,E,Regular
3172695,17114.2,Centre,B1,4,13,22,156,D,Regular
1098172,17073.31,Centre,B3,4,1,22,80,E,Diesel
2146529,17021.95,Provence-Alpes-Cotes-D'Azur,B14,4,0,46,90,E,Regular
108832,17018.45,Centre,B1,6,7,30,75,A,Diesel
2255842,17000.0,Languedoc-Roussillon,B1,6,9,21,90,C,Diesel
1120355,16945.63,Centre,B1,4,9,51,59,B,Diesel
2098598,16798.5,Pays-de-la-Loire,B2,7,15,52,58,E,Diesel
2203334,16785.88,Pays-de-la-Loire,B1,7,9,56,112,E,Regular
100135,16510.22,Rhone-Alpes,B1,8,13,38,58,C,Diesel
1106093,16373.02,Haute-Normandie,B6,6,5,46,50,C,Diesel
2159698,16364.0,Provence-Alpes-Cotes-D'Azur,B5,6,16,18,100,E,Regular
148157,16354.69,Centre,B1,8,9,52,50,B,Diesel
88914,16344.79,Provence-Alpes-Cotes-D'Azur,B1,4,9,60,50,E,Regular
1019732,16334.36,Centre,B3,12,13,46,62,A,Regular
5036556,16310.0,Rhone-Alpes,B12,4,2,41,50,C,Regular
2084830,16288.25,Bretagne,B3,6,7,20,125,A,Diesel
1093960,16260.67,Provence-Alpes-Cotes-D'Azur,B6,6,12,69,62,E,Regular
3175380,16204.0,Rhone-Alpes,B2,4,11,21,100,D,Regular
4045868,16129.91,Ile-de-France,B5,8,5,46,64,D,Regular
2101764,16113.0,Aquitaine,B10,7,5,54,50,E,Diesel
61341,15948.14,Lorraine,B2,5,10,22,118,D,Regular
3047541,15928.75,Centre,B12,10,9,68,62,A,Diesel
48742,15867.74,Bretagne,B12,7,13,41,50,C,Regular
6071391,15852.0,Poitou-Charentes,B12,10,15,25,72,C,Diesel
1152016,15768.64,Pays-de-la-Loire,B10,5,1,81,50,C,Diesel
2147667,15756.39,Centre,B10,7,3,38,50,E,Diesel
4148326,15607.96,Centre,B2,7,18,55,50,B,Diesel
4073213,15600.0,Provence-Alpes-Cotes-D'Azur,B12,7,3,54,52,D,Diesel
6059346,15497.69,Languedoc-Roussillon,B12,11,4,55,50,C,Diesel
5034866,15484.0,Corse,B12,7,2,48,50,D,Diesel
6107997,15435.0,Provence-Alpes-Cotes-D'Azur,B12,4,1,54,53,C,Diesel
31134,15316.87,Poitou-Charentes,B5,12,7,33,60,D,Regular
3028761,15316.14,Ile-de-France,B12,5,1,43,76,B,Regular
1094245,15244.9,Nord-Pas-de-Calais,B6,4,8,52,67,D,Regular
2114361,15205.0,Bretagne,B5,5,7,33,76,D,Diesel
4013136,15174.47,Languedoc-Roussillon,B12,4,1,48,50,D,Regular
3085262,15162.44,Rhone-Alpes,B1,6,12,25,76,D,Diesel
4007562,15139.64,Aquitaine,B12,5,6,75,50,B,Regular
3204389,15082.05,Bretagne,B4,7,9,33,85,B,Regular
168995,15059.45,Centre,B2,4,3,74,50,E,Regular
83192,15012.65,Provence-Alpes-Cotes-D'Azur,B2,8,16,43,50,C,Regular
2004764,15012.38,Aquitaine,B12,7,2,59,50,E,Regular
2214266,15000.0,Languedoc-Roussillon,B11,13,14,35,90,D,Regular
2095829,15000.0,Rhone-Alpes,B1,5,4,47,56,D,Diesel
3168941,15000.0,Pays-de-la-Loire,B5,5,1,38,106,E,Regular
3166588,15000.0,Centre,B2,4,1,61,65,A,Regular
2277399,15000.0,Centre,B1,6,4,27,85,E,Diesel
2216077,15000.0,Provence-Alpes-Cotes-D'Azur,B2,4,13,43,95,C,Regular
1188962,15000.0,Provence-Alpes-Cotes-D'Azur,B2,7,14,63,90,E,Diesel
1179717,15000.0,Provence-Alpes-Cotes-D'Azur,B3,6,8,70,57,D,Diesel
1109466,14960.97,Centre,B2,6,7,44,62,C,Diesel
2215983,14928.0,Provence-Alpes-Cotes-D'Azur,B1,7,0,27,70,E,Regular
1019646,14879.09,Centre,B2,7,0,43,56,A,Diesel
1161295,14871.57,Ile-de-France,B1,5,6,36,90,F,Regular
3060574,14854.44,Centre,B2,7,3,20,118,C,Regular
6008602,14850.0,Provence-Alpes-Cotes-D'Azur,B1,7,6,63,50,B,Diesel
97336,14848.54,Bretagne,B10,10,19,49,50,C,Diesel
1095305,14776.37,Rhone-Alpes,B3,6,9,37,51,E,Diesel
1002484,14758.09,Languedoc-Roussillon,B12,6,1,70,50,D,Regular
2115831,14572.0,Centre,B3,6,8,38,50,C,Diesel
4159388,14500.0,Centre,B2,7,6,47,50,C,Diesel
3146383,14464.0,Provence-Alpes-Cotes-D'Azur,B5,6,9,40,62,D,Regular
2054143,14291.82,Centre,B5,6,14,23,95,C,Regular
3155472,14233.35,Provence-Alpes-Cotes-D'Azur,B2,6,8,45,63,C,Diesel
3155915,14204.0,Centre,B6,6,13,24,95,A,Diesel
2114441,14088.9,Provence-Alpes-Cotes-D'Azur,B3,6,7,19,100,E,Regular
3207357,14064.0,Rhone-Alpes,B5,5,12,30,67,E,Diesel
3183327,14000.0,Bretagne,B4,6,5,54,50,D,Regular
6033955,13872.0,Lorraine,B4,5,7,29,72,D,Diesel
3025890,13823.26,Champagne-Ardenne,B12,7,1,36,50,A,Diesel
3153655,13813.58,Centre,B2,5,1,73,50,D,Diesel
57657,13809.51,Bretagne,B1,6,6,57,50,C,Diesel
85907,13802.32,Pays-de-la-Loire,B6,6,5,24,95,E,Diesel
2128522,13798.54,Bretagne,B12,11,1,54,62,B,Diesel
110342,13738.86,Pays-de-la-Loire,B2,6,12,33,95,B,Regular
4024498,13684.7,Aquitaine,B12,11,2,54,50,E,Diesel
3172585,13658.94,Centre,B2,6,5,19,100,D,Regular
2093134,13563.7,Poitou-Charentes,B2,5,3,65,50,C,Diesel
1099591,13518.75,Nord-Pas-de-Calais,B5,7,13,35,76,C,Diesel
1027903,13501.72,Centre,B1,6,9,29,72,C,Diesel
3166551,13500.0,Centre,B3,9,8,31,106,C,Regular
2285688,13455.02,Rhone-Alpes,B2,5,1,30,76,A,Diesel
1152198,13424.89,Pays-de-la-Loire,B2,4,9,55,58,B,Diesel
2063712,13343.04,Centre,B3,11,7,48,50,D,Regular
5090361,13323.0,Ile-de-France,B12,12,0,49,57,E,Diesel
1113118,13321.68,Bretagne,B1,6,8,29,95,C,Regular
2046522,13293.38,Centre,B2,7,10,49,50,A,Diesel
4161878,13280.45,Poitou-Charentes,B10,10,0,56,50,D,Diesel
3131225,13247.76,Rhone-Alpes,B1,7,3,34,54,D,Regular
1099563,13236.68,Nord-Pas-de-Calais,B2,7,4,48,55,B,Diesel
1137564,13091.81,Centre,B2,9,1,48,50,C,Regular
102086,12974.9,Aquitaine,B1,8,10,25,68,C,Diesel
2130403,12965.9,Provence-Alpes-Cotes-D'Azur,B3,7,3,78,62,E,Regular
1103773,12957.3,Provence-Alpes-Cotes-D'Azur,B4,6,0,40,63,D,Regular
154238,12938.87,Centre,B1,7,2,73,50,A,Regular
5021636,12905.0,Languedoc-Roussillon,B12,6,3,73,50,B,Diesel
6107631,12881.58,Ile-de-France,B6,6,8,20,100,E,Diesel
82035,12820.18,Provence-Alpes-Cotes-D'Azur,B4,7,13,77,71,E,Regular
109765,12782.99,Bretagne,B2,5,10,32,80,B,Regular
3172695,12748.5,Centre,B1,4,13,22,156,D,Regular
2023276,12738.49,Ile-de-France,B12,5,0,40,50,D,Regular
1060962,12734.5,Lorraine,B3,6,6,44,50,D,Regular
35280,12696.8,Rhone-Alpes,B13,8,2,68,50,D,Regular
2130560,12676.87,Lorraine,B5,7,16,47,50,D,Regular
141468,12608.66,Rhone-Alpes,B1,7,4,60,52,D,Regular
138365,12604.29,Centre,B6,6,7,64,50,B,Diesel
6086905,12590.97,Basse-Normandie,B2,7,4,22,125,D,Regular
3897,12555.36,Provence-Alpes-Cotes-D'Azur,B12,4,0,43,50,E,Regular
1183746,12479.75,Rhone-Alpes,B1,6,7,69,85,E,Diesel
2121787,12378.38,Provence-Alpes-Cotes-D'Azur,B3,7,11,49,68,E,Diesel
3043479,12328.7,Provence-Alpes-Cotes-D'Azur,B13,8,1,66,50,C,Diesel
4169965,12316.0,Languedoc-Roussillon,B5,5,17,24,100,C,Diesel
1120706,12308.76,Rhone-Alpes,B1,7,4,39,50,E,Regular
69408,12297.64,Provence-Alpes-Cotes-D'Azur,B1,6,1,77,50,C,Regular
4139984,12289.6,Centre,B1,6,7,35,67,B,Regular
108054,12284.35,Aquitaine,B5,5,7,26,99,C,Diesel
1093658,12228.35,Lorraine,B2,5,15,60,50,D,Regular
2121470,12224.67,Rhone-Alpes,B10,10,0,57,68,E,Diesel
69268,12215.4,Provence-Alpes-Cotes-D'Azur,B2,9,7,32,50,C,Regular
3007703,12207.67,Languedoc-Roussillon,B12,7,5,27,76,D,Regular
3021379,12199.2,Languedoc-Roussillon,B12,7,10,50,90,C,Diesel
2112565,12177.24,Provence-Alpes-Cotes-D'Azur,B10,7,15,36,76,D,Diesel
2081344,12172.0,Provence-Alpes-Cotes-D'Azur,B2,4,12,39,50,E,Regular
37509,12142.1,Lorraine,B4,5,0,62,112,C,Diesel
2277883,12138.28,Centre,B1,7,4,36,68,E,Diesel
5083923,12136.0,Provence-Alpes-Cotes-D'Azur,B12,6,2,31,51,C,Diesel
1064294,12128.12,Rhone-Alpes,B2,4,15,65,50,D,Regular
1103597,12114.72,Provence-Alpes-Cotes-D'Azur,B1,4,11,29,125,D,Regular
2117280,12004.23,Alsace,B2,5,1,26,112,E,Diesel
1192483,12000.0,Provence-Alpes-Cotes-D'Azur,B2,5,1,50,50,E,Diesel
