ClaimRank,ClaimRankShare,ClaimAmount,CumulativeCost,CumulativeCostShare
8713,0.32948873090304037,1204.0,45485170.28999979,0.7592349382502739
8845,0.3344804114354863,1204.0,45644098.28999979,0.7618877521123948
8977,0.3394720919679322,1204.0,45803026.28999979,0.7645405659745156
9109,0.3444637725003782,1204.0,45961954.28999979,0.7671933798366365
9241,0.3494554530328241,1204.0,46120882.28999979,0.7698461936987574
9373,0.35444713356527,1204.0,46279810.28999979,0.7724990075608782
9505,0.35943881409771594,1204.0,46438738.28999979,0.7751518214229991
9637,0.36443049463016186,1204.0,46597666.28999979,0.77780463528512
9769,0.3694221751626078,1204.0,46756594.28999979,0.7804574491472408
9901,0.3744138556950537,1204.0,46915522.28999979,0.7831102630093617
10033,0.3794055362274996,1204.0,47074450.28999979,0.7857630768714825
10165,0.38439721675994554,1204.0,47233378.28999979,0.7884158907336034
10297,0.38938889729239146,1204.0,47392306.28999979,0.7910687045957243
10429,0.3943805778248374,1204.0,47551234.28999979,0.7937215184578451
10561,0.3993722583572833,1204.0,47710162.28999979,0.796374332319966
10693,0.4043639388897292,1204.0,47869090.28999979,0.7990271461820868
10825,0.4093556194221752,1204.0,48028018.28999979,0.8016799600442077
10957,0.4143472999546211,1204.0,48186946.28999979,0.8043327739063286
11089,0.419338980487067,1204.0,48345874.28999979,0.8069855877684494
11221,0.42433066101951294,1204.0,48504802.28999979,0.8096384016305703
11353,0.42932234155195886,1204.0,48663730.28999979,0.8122912154926912
11485,0.4343140220844048,1200.0,48822572.49999979,0.8149425973547791
11617,0.4393057026168507,1172.0,48978987.109999806,0.8175534579057598
11749,0.4442973831492966,1172.0,49133691.109999806,0.8201357650871599
11881,0.44928906368174254,1172.0,49288395.109999806,0.82271807226856
12013,0.45428074421418846,1172.0,49443099.109999806,0.82530037944996
12145,0.4592724247466344,1172.0,49597803.109999806,0.8278826866313601
12277,0.4642641052790803,1172.0,49752507.109999806,0.8304649938127601
12409,0.46925578581152627,1172.0,49907211.109999806,0.8330473009941601
12541,0.4742474663439722,1172.0,50061915.109999806,0.8356296081755602
12673,0.4792391468764181,1172.0,50216619.109999806,0.8382119153569603
12805,0.48423082740886403,1172.0,50371323.109999806,0.8407942225383603
12937,0.48922250794130995,1172.0,50526027.109999806,0.8433765297197603
13069,0.49421418847375587,1172.0,50680731.109999806,0.8459588369011604
13201,0.4992058690062018,1172.0,50835435.109999806,0.8485411440825604
13333,0.5041975495386477,1172.0,50990139.109999806,0.8511234512639605
13465,0.5091892300710936,1172.0,51144843.109999806,0.8537057584453605
13597,0.5141809106035395,1172.0,51299547.109999806,0.8562880656267605
13729,0.5191725911359855,1156.45,51453794.90999979,0.8588627579531071
13861,0.5241642716684314,1128.12,51604082.159999736,0.8613713410857199
13993,0.5291559522008773,1128.12,51752993.99999938,0.8638569659811756
14125,0.5341476327333232,1128.12,51901905.83999903,0.8663425908766312
14257,0.5391393132657691,1128.12,52050817.67999867,0.868828215772087
14389,0.5441309937982151,1128.12,52199729.51999832,0.8713138406675427
14521,0.549122674330661,1128.12,52348641.359997965,0.8737994655629984
14653,0.5541143548631069,1128.12,52497553.19999761,0.8762850904584542
14785,0.5591060353955528,1128.12,52646465.03999726,0.8787707153539098
14917,0.5640977159279988,1128.12,52795376.8799969,0.8812563402493655
15049,0.5690893964604448,1128.12,52944288.71999655,0.8837419651448213
15181,0.5740810769928907,1128.12,53093200.559996195,0.886227590040277
15313,0.5790727575253366,1128.12,53242112.39999584,0.8887132149357326
15445,0.5840644380577825,1128.12,53391024.23999549,0.8911988398311884
15577,0.5890561185902284,1128.12,53539936.07999513,0.8936844647266441
15709,0.5940477991226744,1128.12,53688847.91999478,0.8961700896220998
15841,0.5990394796551203,1128.12,53837759.759994425,0.8986557145175554
15973,0.6040311601875662,1128.12,53986671.59999407,0.9011413394130112
16105,0.6090228407200121,1128.12,54135583.43999372,0.9036269643084669
16237,0.614014521252458,1128.12,54284495.27999336,0.9061125892039226
16369,0.619006201784904,1128.12,54433407.11999301,0.9085982140993784
16501,0.6239978823173499,1128.12,54582318.959992655,0.911083838994834
16633,0.6289895628497958,1128.12,54731230.7999923,0.9135694638902897
16765,0.6339812433822417,1128.12,54880142.63999195,0.9160550887857455
16897,0.6389729239146876,1128.0,55029053.36999162,0.9185406951531677
17029,0.6439646044471335,1128.0,55177949.36999162,0.9210260556485765
17161,0.6489562849795795,1128.0,55326845.36999162,0.9235114161439855
17293,0.6539479655120254,1128.0,55475741.36999162,0.9259967766393944
17425,0.6589396460444713,1128.0,55624637.36999162,0.9284821371348033
17557,0.6639313265769172,1128.0,55773533.36999162,0.9309674976302122
17689,0.6689230071093631,1128.0,55922429.36999162,0.9334528581256212
17821,0.6739146876418091,1098.71,56069837.69999159,0.9359133865486555
17953,0.678906368174255,1063.9,56212550.94999162,0.9382955450601098
18085,0.6838980487067009,1030.9,56350629.079991624,0.9406003345076567
18217,0.6888897292391469,1000.0,56484462.18999163,0.9428342664102715
18349,0.6938814097715928,973.9,56615121.90999163,0.9450152283328831
18481,0.6988730903040388,944.57,56741702.17999163,0.9471280963921742
18613,0.7038647708364847,912.54,56864341.67999164,0.9491751854239596
18745,0.7088564513689306,881.6,56982949.09999162,0.9511549712887936
18877,0.7138481319013765,855.57,57097569.88999163,0.9530682126345558
19009,0.7188398124338224,829.21,57208717.719991714,0.9549234836010869
19141,0.7238314929662684,806.4,57316711.97999171,0.956726115421518
19273,0.7288231734987143,784.45,57421708.719991714,0.9584787128703597
19405,0.7338148540311602,761.27,57523738.199991725,0.9601817810451874
19537,0.7388065345636061,740.21,57622692.499991745,0.9618335185537228
19669,0.743798215096052,717.33,57719012.06999172,0.9634412773532387
19801,0.748789895628498,691.89,57811906.089991756,0.9649918571375701
19933,0.7537815761609439,668.84,57901604.55999178,0.9664890970488953
20065,0.7587732566933898,651.93,57988737.049991824,0.9679435058208752
20197,0.7637649372258357,631.82,58073526.84999181,0.9693588105928879
20329,0.7687566177582816,607.66,58155315.38999183,0.9707240185655212
20461,0.7737482982907276,602.0,58234861.60999183,0.9720517979064512
20593,0.7787399788231735,602.0,58314325.60999183,0.9733782048375117
20725,0.7837316593556194,602.0,58393789.60999183,0.9747046117685721
20857,0.7887233398880653,590.74,58472891.79999187,0.9760249793951464
20989,0.7937150204205112,585.63,58550302.29999186,0.9773171094633137
21121,0.7987067009529571,564.06,58626000.46999191,0.9785806574517947
21253,0.8036983814854031,562.53,58700444.9399921,0.9798232787770159
21385,0.808690062017849,556.14,58773948.649992175,0.981050197009206
21517,0.813681742550295,542.72,58846831.9899922,0.9822667600734221
21649,0.8186734230827409,521.45,58916970.4499922,0.9834375058133534
21781,0.8236651036151869,500.37,58984332.77999222,0.9845619126064221
21913,0.8286567841476328,478.67,59049115.46999223,0.9856432602484833
22045,0.8336484646800787,454.29,59110625.83999223,0.9866699865786466
22177,0.8386401452125246,432.93,59169136.32999221,0.9876466391442827
22309,0.8436318257449705,414.52,59225075.969992206,0.9885803792809109
22441,0.8486235062774165,391.98,59278312.99999221,0.9894690076608197
22573,0.8536151868098624,369.22,59328510.5299922,0.9903069009422315
22705,0.8586068673423083,351.27,59376101.88999223,0.9911012922359321
22837,0.8635985478747542,331.44,59421174.299992256,0.9918536374114032
22969,0.8685902284072001,311.03,59463566.01999227,0.9925612367170963
23101,0.873581908939646,290.59,59503259.50999226,0.9932237973766901
23233,0.878573589472092,271.83,59540366.47999229,0.9938431840448505
23365,0.8835652700045379,254.17,59575034.76999228,0.994421864455401
23497,0.8885569505369838,235.05,59607105.38999226,0.9949571847595814
23629,0.8935486310694297,217.02,59636905.15999229,0.9954546002115099
23761,0.8985403116018756,200.0,59664384.44999229,0.9959132823910707
23893,0.9035319921343216,182.94,59689784.499992326,0.9963372580576534
24025,0.9085236726667675,162.17,59712672.32999231,0.9967192999426442
24157,0.9135153531992134,149.09,59733069.50999236,0.9970597680908139
24289,0.9185070337316593,127.78,59751353.37999236,0.9973649610322037
24421,0.9234987142641052,112.15,59767168.29999235,0.9976289424514899
24553,0.9284903947965512,99.99,59781071.769992314,0.9978610180954764
24685,0.9334820753289971,91.66,59793684.54999229,0.998071549641987
24817,0.9384737558614431,85.88,59805419.24999231,0.9982674243451726
24949,0.943465436393889,82.05,59816485.60999224,0.9984521431688602
25081,0.9484571169263349,80.0,59827150.86999224,0.9986301668624266
25213,0.9534487974587809,77.74,59837535.289992176,0.9988035027964717
25345,0.9584404779912268,76.01,59847661.249992155,0.9989725245362231
25477,0.9634321585236727,75.32,59857669.379992135,0.9991395794667443
25609,0.9684238390561186,72.93,59867465.72999214,0.9993030993819145
25741,0.9734155195885645,70.2,59876924.309992135,0.9994609812664156
25873,0.9784072001210105,66.41,59885996.54999214,0.9996124143935706
26005,0.9833988806534564,60.31,59894409.439992175,0.9997528417016132
26137,0.9883905611859023,46.47,59901589.80999221,0.9998726958813126
26269,0.9933822417183482,29.42,59906493.51999219,0.9999545482286885
26401,0.9983739222507941,9.63,59908990.559992224,0.9999962286268962
